id,label
2001, 0
2002, 0
2003, 0
2004, 0
2005, 0
2006, 0
2007, 0
2008, 0
2009, 0
2010, 0
2011, 0
2012, 0
2013, 0
2014, 0
2015, 0
2016, 0
2017, 0
2018, 0
2019, 0
2020, 0
2021, 0
2022, 0
2023, 0
2024, 0
2025, 0
2026, 1
2027, 0
2028, 0
2029, 0
2030, 2
2031, 1
2032, 0
2033, 0
2034, 0
2035, 0
2036, 2
2037, 0
2038, 2
2039, 0
2040, 0
2041, 2
2042, 0
2043, 1
2044, 0
2045, 0
2046, 0
2047, 0
2048, 2
2049, 2
2050, 0
2051, 2
2052, 1
2053, 2
2054, 2
2055, 0
2056, 0
2057, 0
2058, 0
2059, 2
2060, 0
2061, 0
2062, 2
2063, 0
2064, 2
2065, 0
2066, 0
2067, 0
2068, 0
2069, 2
2070, 0
2071, 0
2072, 0
2073, 2
2074, 1
2075, 2
2076, 1
2077, 1
2078, 1
2079, 0
2080, 1
2081, 0
2082, 0
2083, 2
2084, 2
2085, 1
2086, 1
2087, 1
2088, 1
2089, 1
2090, 0
2091, 1
2092, 2
2093, 0
2094, 2
2095, 1
2096, 2
2097, 2
2098, 2
2099, 0
2100, 0
2101, 0
2102, 2
2103, 1
2104, 1
2105, 2
2106, 2
2107, 1
2108, 1
2109, 2
2110, 2
2111, 2
2112, 2
2113, 2
2114, 2
2115, 2
2116, 2
2117, 2
2118, 2
2119, 2
2120, 2
2121, 2
2122, 2
2123, 2
2124, 1
2125, 2
2126, 1
2127, 0
2128, 1
2129, 1
2130, 0
2131, 0
2132, 1
2133, 1
2134, 1
2135, 0
2136, 0
2137, 2
2138, 1
2139, 0
2140, 0
2141, 1
2142, 1
2143, 0
2144, 0
2145, 0
2146, 0
2147, 0
2148, 0
2149, 0
2150, 0

